_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
45,7730108,350,Victoria St,350 Victoria St,M5B 2K3,former TORONTO,Toronto,30060911,350,None,,None,9790,Toronto Centre (1313),3802769,45,8,No,No,No,pavers,Installed, ,white mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3804798260292, 43.6577656354656]]}"
46,7792268,595,Bay St,595 Bay St,M5G 2C2,former TORONTO,Toronto,7792266,595,None,,None,2962,University-Rosedale (1111),2103912,46,8,No,No,No,concrete,Installed, ,adjacent to planter,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3832978278682, 43.6562124477002]]}"
47,7792587,790,Bay St,790 Bay St,M5G 1N8,former TORONTO,Toronto,7792579,790,None,,None,2962,University-Rosedale (1111),2383398,47,8,No,No,No,pavers,Installed, , ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3861750845428, 43.6604459643503]]}"
48,7929475,357,Bay St,357 Bay St,M5H 2T7,former TORONTO,Toronto,7929469,357,None,,None,2962,Toronto Centre (1313),2561155,48,8,No,No,No,concrete,Installed, ,white mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3808769998818, 43.6508344042378]]}"
49,7929674,200,King St W,200 King St W,M5H 3T4,former TORONTO,Toronto,7929673,200,None,,None,3780,Spadina-Fort York (1010),1684104,49,8,Yes,No,No,marble,Installed,King TTC, ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3857204176048, 43.6479052737837]]}"
50,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former TORONTO,Toronto,14023269,10,None,,None,11375,Toronto-Danforth (1414),2047844,50,8,Yes,No,No,concrete,Installed,Greenwood TTC,just south of doors,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.330292170892, 43.6825720317075]]}"
51,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former TORONTO,Toronto,14023269,10,None,,None,11375,Toronto-Danforth (1414),2047844,51,10,Yes,No,No,concrete,Installed,Greenwood TTC, ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.330292170892, 43.6825720317075]]}"
52,7994464,40,High Park Ave,40 High Park Ave,M6P 2S1,former TORONTO,Toronto,7994458,40,None,,None,3660,Parkdale-High Park (404),2146844,52,20,Yes,No,Yes, ,Installed,High Park TTC,"Public Realm project,  Installed at back of walk",Bike Shelter,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4663681354934, 43.6547112224016]]}"
53,8292528,666,Queen St E,666 Queen St E,M4M 1G8,former TORONTO,Toronto,8292524,666,None,,None,4237,Toronto-Danforth (1414),4093504,53,8,No,No,No,concrete,Installed, , ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3515005142531, 43.6586988939243]]}"
54,8312904,1595,Dupont St,1595 Dupont St,M6P 3S8,former TORONTO,Toronto,8312902,1595,None,,None,3343,Davenport (909),2446517,54,8,No,No,No,pavers,Installed, ,restaurant request,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4542193055903, 43.6649358894462]]}"
